row,column,roughness,mobility_cost,on_planned_route
0,0,0.000000,1.000000,True
0,1,0.741787,12.004959,False
0,2,0.795194,13.646656,False
0,3,0.942450,18.764251,False
0,4,0.739899,11.948998,False
0,5,0.922325,18.013668,False
0,6,0.029005,1.016826,False
0,7,0.465623,5.336089,False
0,8,0.943357,18.798438,False
0,9,0.648975,9.423359,False
0,10,0.900900,17.232434,False
0,11,0.113206,1.256312,False
0,12,0.469069,5.400515,False
0,13,0.246573,2.215963,False
0,14,0.543761,6.913517,False
0,15,0.573941,7.588170,False
0,16,0.013114,1.003440,False
0,17,0.216730,1.939436,False
0,18,0.279482,2.562208,False
0,19,0.916345,17.793777,False
0,20,0.765725,12.726709,False
0,21,0.159604,1.509470,False
0,22,0.797147,13.708867,False
0,23,0.138767,1.385128,False
0,24,0.617453,8.624952,False
0,25,0.126699,1.321054,False
0,26,0.001775,1.000063,False
0,27,0.871405,16.186925,False
0,28,0.209456,1.877440,False
0,29,0.215481,1.928643,False
0,30,0.982421,20.303025,False
0,31,0.872408,16.221906,False
0,32,0.289305,2.673950,False
0,33,0.961478,19.488798,False
0,34,0.539223,6.815239,False
0,35,0.677830,10.189083,False
0,36,0.204780,1.838693,False
0,37,0.940976,18.708717,False
0,38,0.690642,10.539726,False
0,39,0.966564,19.684931,False
0,40,0.893742,16.975484,False
0,41,0.298789,2.785496,False
0,42,0.361190,3.609163,False
0,43,0.165956,1.550828,False
0,44,0.145702,1.424581,False
0,45,0.065140,1.084864,False
0,46,0.301359,2.816346,False
0,47,0.603110,8.274833,False
0,48,0.003383,1.000229,False
0,49,0.677934,10.191897,False
0,50,0.337897,3.283486,False
0,51,0.309958,2.921478,False
0,52,0.818518,14.399437,False
0,53,0.480745,5.622319,False
0,54,0.315793,2.994506,False
0,55,0.481218,5.631423,False
0,56,0.704669,10.931172,False
0,57,0.057001,1.064982,False
0,58,0.975100,20.016383,False
0,59,0.022866,1.010457,False
0,60,0.749795,12.243852,False
0,61,0.844881,15.276474,False
0,62,0.018068,1.006529,False
0,63,0.787738,13.410633,False
1,0,0.366184,3.681821,True
1,1,0.578519,7.693681,True
1,2,0.009078,1.001648,True
1,3,0.046727,1.043668,True
1,4,0.180919,1.654637,True
1,5,0.955180,19.247373,False
1,6,0.196522,1.772415,False
1,7,0.755736,12.422751,False
1,8,0.929655,18.285180,False
1,9,0.942044,18.748932,False
1,10,0.344382,3.371977,False
1,11,0.354793,3.517564,False
1,12,0.524702,6.506240,False
1,13,0.775603,13.031201,False
1,14,0.108053,1.233508,False
1,15,0.748398,12.201993,False
1,16,0.797227,13.711408,False
1,17,0.859694,15.781486,False
1,18,0.036632,1.026837,False
1,19,0.945800,18.890760,False
1,20,0.091180,1.166275,False
1,21,0.340741,3.322082,False
1,22,0.610828,8.462206,False
1,23,0.918087,17.857682,False
1,24,0.339960,3.311450,False
1,25,0.924198,18.082825,False
1,26,0.545144,6.943640,False
1,27,0.312450,2.952505,False
1,28,0.316800,3.007245,False
1,29,0.177478,1.629967,False
1,30,0.078196,1.122293,False
1,31,0.148868,1.443234,False
1,32,0.689175,10.499232,False
1,33,0.996727,20.869287,False
1,34,0.161529,1.521835,False
1,35,0.048552,1.047146,False
1,36,0.986699,20.471503,False
1,37,0.533531,6.693101,False
1,38,0.405888,4.294902,False
1,39,0.237337,2.126573,False
1,40,0.593960,8.055775,False
1,41,0.826296,14.655285,False
1,42,0.455665,5.152614,False
1,43,0.421757,4.557584,False
1,44,0.055707,1.062066,False
1,45,0.916069,17.783661,False
1,46,0.032721,1.021414,False
1,47,0.493564,5.872112,False
1,48,0.838429,15.059273,False
1,49,0.130572,1.340980,False
1,50,0.731664,11.706657,False
1,51,0.949799,19.042346,False
1,52,0.630399,8.948065,False
1,53,0.788010,13.419181,False
1,54,0.106631,1.227402,False
1,55,0.434555,4.776764,False
1,56,0.149245,1.445483,False
1,57,0.844734,15.271507,False
1,58,0.294813,2.738293,False
1,59,0.453155,5.106988,False
1,60,0.999300,20.972008,False
1,61,0.852253,15.526692,False
1,62,0.976008,20.051816,False
1,63,0.453540,5.113970,False
2,0,0.488159,5.765984,False
2,1,0.729505,11.643551,False
2,2,0.479042,5.589633,False
2,3,0.291023,2.693883,False
2,4,0.403789,4.260918,True
2,5,0.146506,1.429282,False
2,6,0.377001,3.842591,False
2,7,0.988388,20.538205,False
2,8,0.959816,19.424931,False
2,9,0.626965,8.861701,False
2,10,0.499322,5.986458,False
2,11,0.338479,3.291357,False
2,12,0.089137,1.158910,False
2,13,0.272310,2.483056,False
2,14,0.782019,13.231073,False
2,15,0.867387,16.047197,False
2,16,0.361326,3.611133,False
2,17,0.786023,13.356630,False
2,18,0.774898,13.009341,False
2,19,0.694597,10.649293,False
2,20,0.664018,9.818410,False
2,21,0.759639,12.541020,False
2,22,0.363432,3.641653,False
2,23,0.704470,10.925548,False
2,24,0.280852,2.577558,False
2,25,0.485685,5.717803,False
2,26,0.769747,12.850223,False
2,27,0.690883,10.546385,False
2,28,0.293852,2.726980,False
